session_id	group_id	user_id	destination_id	capture_start_ms	duration_ms	tls_record_count	c2s_record_count	s2c_record_count	c2s_record_bytes	s2c_record_bytes	signed_tls_record_lengths	record_interarrival_ms
MapSwipe-Benign_s_9d6b222fd421c824f237	MapSwipe-Benign_g_cb6b4e7946b15b820d31	MapSwipe-Benign_u_1db662f5a3c07b76df55	endpoint_f08e349592965c4ad894	27438180.25	417.411	19	7	12	2218	3899	[1516,-1215,-6,-28,-853,-286,-74,6,74,185,242,171,-255,-255,-121,-432,-350,-24,24]	[0.0,39.11,0.009,0.007,0.007,0.007,0.006,52.919,0.008,0.006,0.006,41.804,1.285,0.008,65.614,0.008,26.139,0.007,42.151]
MapSwipe-Benign_s_8f3a11cc1c926d6d28e3	MapSwipe-Benign_g_cbcd878ab82d76990c74	MapSwipe-Benign_u_c9b954d370ab75bf3c72	endpoint_53ac97f4e1ab1f69d0a6	3710763.125	398.164	20	7	13	2214	4150	[1516,-1215,-6,-28,-853,-286,-74,6,74,185,242,167,-255,-255,-121,-432,-432,-169,-24,24]	[0.0,40.928,0.009,0.004,0.003,0.003,0.004,39.626,0.007,0.005,0.004,39.341,0.758,0.006,58.617,0.015,28.483,27.653,0.006,44.598]
MapSwipe-Benign_s_d265bc7abbf8e0c2dee9	MapSwipe-Benign_g_cbcd878ab82d76990c74	MapSwipe-Benign_u_ef208422ba4070331ba9	endpoint_f08e349592965c4ad894	4303932.5	455.213	20	8	12	2331	3858	[1516,-1215,-6,-28,-853,-286,-74,6,74,185,242,242,-255,-255,42,-121,-432,-309,-24,24]	[0.0,44.962,0.009,0.006,0.005,0.006,0.005,45.198,0.009,0.007,0.006,48.341,0.786,0.008,31.432,54.637,0.009,32.32,0.007,44.531]
MapSwipe-Benign_s_405492e4e5a26f94ca8c	MapSwipe-Benign_g_cbcd878ab82d76990c74	MapSwipe-Benign_u_14914c222cb0f0701458	endpoint_53ac97f4e1ab1f69d0a6	8354762.875	389.164	20	8	12	2338	3842	[1516,-1215,-6,-28,-853,-286,-74,6,74,185,242,242,-255,-255,49,-121,-432,-293,-24,24]	[0.0,53.627,0.008,0.006,0.006,0.006,0.005,39.464,0.005,0.003,0.004,31.85,1.105,0.005,23.761,49.6,0.012,28.97,0.011,34.929]
MapSwipe-Benign_s_ba0f4d16060aaa6e5512	MapSwipe-Benign_g_cbcd878ab82d76990c74	MapSwipe-Benign_u_986229f9565e23c94250	endpoint_d6bc51f73f0e1c050e17	11714962.5	463.7	21	8	13	2321	4075	[1516,-1215,-6,-28,-853,-286,-74,6,74,185,242,242,-255,-255,32,-121,-432,-432,-94,-24,24]	[0.0,36.402,0.005,0.005,0.003,0.004,0.004,35.403,0.007,0.004,0.004,37.67,0.738,0.008,25.426,50.427,0.007,23.747,23.453,0.01,49.877]
MapSwipe-Benign_s_d127ad0b6485f16f1610	MapSwipe-Benign_g_cbcd878ab82d76990c74	MapSwipe-Benign_u_bda738747a0e76f7f49b	endpoint_413b38b740843c48dcec	11947372.5	380.158	19	7	12	2266	3957	[1516,-1215,-6,-28,-853,-286,-74,6,74,185,242,219,-255,-255,-121,-432,-408,-24,24]	[0.0,45.731,0.007,0.005,0.005,0.005,0.009,41.375,0.008,0.005,0.005,41.369,0.6,0.005,58.368,0.014,26.743,0.01,37.086]
MapSwipe-Benign_s_7beb0a50dd06ac78df7c	MapSwipe-Benign_g_cbcd878ab82d76990c74	MapSwipe-Benign_u_59b9deb825f2a7c61faf	endpoint_2be03255ce9b5439c1cb	12071331.625	465.57	21	8	13	2318	4005	[1516,-1215,-6,-28,-853,-286,-74,6,74,185,242,242,-255,-255,29,-121,-432,-432,-24,-24,24]	[0.0,51.929,0.005,0.005,0.004,0.003,0.004,39.663,0.005,0.004,0.003,45.826,1.043,0.005,27.372,50.343,0.011,26.422,30.743,0.034,46.286]
MapSwipe-Benign_s_efa5dc91a6b3d5837bab	MapSwipe-Benign_g_cbcd878ab82d76990c74	MapSwipe-Benign_u_0a59a0ae23135e3e154b	endpoint_d6bc51f73f0e1c050e17	30442844.0	323.043	19	7	12	2256	3836	[1516,-1215,-6,-28,-853,-286,-74,6,74,185,242,209,-255,-255,-121,-432,-287,-24,24]	[0.0,37.087,0.006,0.004,0.004,0.007,0.003,27.919,0.004,0.007,0.004,30.772,1.217,0.006,40.839,0.008,21.224,0.01,36.51]
MapSwipe-Benign_s_806249018167d66f8fea	MapSwipe-Benign_g_cbcd878ab82d76990c74	MapSwipe-Benign_u_79305b44adeb12033bd0	endpoint_413b38b740843c48dcec	30521470.125	385.027	19	7	12	2275	3827	[1516,-1215,-6,-28,-853,-286,-74,6,74,185,242,228,-255,-255,-121,-432,-278,-24,24]	[0.0,48.248,0.009,0.008,0.006,0.007,0.006,45.017,0.008,0.01,0.007,48.669,0.851,0.006,50.801,0.009,24.914,0.01,38.26]
MapSwipe-Benign_s_06c3562e1f5bd2b5e6a0	MapSwipe-Benign_g_cbf56bdf029656bfccc0	MapSwipe-Benign_u_3b71887a28cb1f9e0c43	endpoint_f08e349592965c4ad894	3535912.375	70.327	19	7	12	2240	3848	[1516,-1215,-6,-28,-853,-286,-74,6,74,185,242,193,-255,-255,-121,-432,-299,-24,24]	[0.0,15.855,0.006,0.004,0.003,0.005,0.005,7.675,0.008,0.004,0.003,10.142,0.282,0.01,10.645,0.012,3.699,0.008,5.282]
MapSwipe-Benign_s_bb433c72a6f4a7e142f7	MapSwipe-Benign_g_cbf56bdf029656bfccc0	MapSwipe-Benign_u_0459d91f2a4b251e7d87	endpoint_2be03255ce9b5439c1cb	21385208.0	357.285	20	8	12	2315	3830	[1516,-1215,-6,-28,-853,-286,-74,6,74,185,242,242,-255,-255,26,-121,-432,-281,-24,24]	[0.0,46.739,0.009,0.006,0.006,0.009,0.006,36.374,0.006,0.003,0.003,39.083,1.024,0.007,23.164,49.46,0.008,22.923,0.007,31.064]
MapSwipe-Benign_s_28f81a0258148b50a95c	MapSwipe-Benign_g_cbf56bdf029656bfccc0	MapSwipe-Benign_u_0459d91f2a4b251e7d87	endpoint_d6bc51f73f0e1c050e17	21399320.625	320.583	19	7	12	2198	3927	[1516,-1215,-6,-28,-853,-286,-74,6,74,185,242,151,-255,-255,-121,-432,-378,-24,24]	[0.0,35.328,0.006,0.005,0.005,0.003,0.004,35.586,0.008,0.006,0.005,37.463,0.939,0.007,45.724,0.008,24.841,0.008,35.356]
MapSwipe-Benign_s_a70df23c37df49f1e02d	MapSwipe-Benign_g_cbf56bdf029656bfccc0	MapSwipe-Benign_u_e8d17008729edd354276	endpoint_413b38b740843c48dcec	28578900.75	390.765	19	7	12	2244	3829	[1516,-1215,-6,-28,-853,-286,-74,6,74,185,242,197,-255,-255,-121,-432,-280,-24,24]	[0.0,44.945,0.008,0.011,0.006,0.006,0.005,43.683,0.005,0.004,0.003,32.581,0.869,0.007,49.78,0.008,27.335,0.009,41.516]
MapSwipe-Benign_s_3406457961c388465428	MapSwipe-Benign_g_cbf56bdf029656bfccc0	MapSwipe-Benign_u_bfecba2aa151c5284f9e	endpoint_03cb6a2621d9336c36e5	37482853.5	184.953	19	7	12	2249	3833	[1516,-1215,-6,-28,-853,-286,-74,6,74,185,242,202,-255,-255,-121,-432,-284,-24,24]	[0.0,31.917,0.006,0.006,0.004,0.003,0.004,26.992,0.005,0.003,0.003,24.159,0.762,0.005,27.367,0.014,10.726,0.006,11.764]
MapSwipe-Benign_s_8c61f81703133b49270d	MapSwipe-Benign_g_cc113c3957950f0b1707	MapSwipe-Benign_u_6c5d16add8cb2a570c12	endpoint_03cb6a2621d9336c36e5	378997.125	398.054	21	8	13	2320	4130	[1516,-1215,-6,-28,-853,-286,-74,6,74,185,242,242,-255,-255,31,-121,-432,-432,-149,-24,24]	[0.0,38.008,0.008,0.01,0.006,0.006,0.005,32.67,0.008,0.005,0.006,30.359,0.692,0.007,24.913,42.485,0.006,22.811,21.415,0.006,52.057]
MapSwipe-Benign_s_e7a6469ceb64486bd2f0	MapSwipe-Benign_g_cc113c3957950f0b1707	MapSwipe-Benign_u_46aeb1c83c843c9623d3	endpoint_2be03255ce9b5439c1cb	5160267.5	714.337	20	7	13	2287	4103	[1516,-1215,-6,-28,-853,-286,-74,6,74,185,242,240,-255,-255,-121,-432,-432,-122,-24,24]	[0.0,72.504,0.014,0.025,0.018,0.034,0.26,60.927,0.015,0.009,0.008,60.203,1.214,0.012,76.512,0.019,57.384,66.297,0.013,102.134]
MapSwipe-Benign_s_44793e20a520fa0a71a8	MapSwipe-Benign_g_cc113c3957950f0b1707	MapSwipe-Benign_u_97ed4f1b68845d1f1922	endpoint_d6bc51f73f0e1c050e17	33480251.625	440.195	20	7	13	2212	4013	[1516,-1215,-6,-28,-853,-286,-74,6,74,185,242,165,-255,-255,-121,-432,-432,-32,-24,24]	[0.0,53.698,0.007,0.008,0.004,0.003,0.003,53.829,0.005,0.003,0.004,47.898,0.844,0.005,41.744,0.008,25.279,24.175,0.01,40.996]
MapSwipe-Benign_s_db07e958e3de5aa44f88	MapSwipe-Benign_g_cc113c3957950f0b1707	MapSwipe-Benign_u_6e5a2e1d8dbe0f02d840	endpoint_d6bc51f73f0e1c050e17	39718678.125	405.028	20	7	13	2243	4089	[1516,-1215,-6,-28,-853,-286,-74,6,74,185,242,196,-255,-255,-121,-432,-432,-108,-24,24]	[0.0,49.206,0.008,0.006,0.006,0.006,0.01,38.2,0.005,0.004,0.003,38.22,1.223,0.009,53.252,0.025,28.834,22.086,0.009,38.377]
MapSwipe-Benign_s_6b07654d59b96f999ab9	MapSwipe-Benign_g_cc60dfd14418727c8efc	MapSwipe-Benign_u_9f8e31578917e2fe0251	endpoint_4343112688888df9e285	3049198.5	402.285	20	7	13	2218	4097	[1516,-1215,-6,-28,-853,-286,-74,6,74,185,242,171,-255,-255,-121,-432,-432,-116,-24,24]	[0.0,39.64,0.005,0.004,0.004,0.003,0.003,38.537,0.007,0.005,0.004,38.267,1.264,0.007,58.741,0.016,28.754,28.196,0.006,37.699]
