group_id	base_group_id	perturbation_level	base_sessions	output_sessions	dropped_sessions	substituted_sessions	rotated_endpoints	jittered_sessions	payload_changed_sessions	background_sessions
ceb_g_bcf82a8c75952f1ca1e6	cea_g_0826fc16ad0c53bd2057	0.50	58	53	9	1	22	49	49	4
ceb_g_d45e44ff89825e5462c1	cea_g_0826fc16ad0c53bd2057	0.60	58	57	6	8	34	52	52	5
ceb_g_5147ae7aad7d48fd9382	cea_g_085238973569458bf836	0.10	51	50	2	0	6	49	49	1
ceb_g_64e7aa42390974e9579c	cea_g_085238973569458bf836	0.20	51	52	1	1	9	50	50	2
ceb_g_8c69b8018a900ca6c056	cea_g_085238973569458bf836	0.30	51	50	3	2	11	48	48	2
ceb_g_1eb9101f37e41645fd20	cea_g_085238973569458bf836	0.40	51	53	1	2	20	50	49	3
ceb_g_bd3b2d8e873fa2536434	cea_g_085238973569458bf836	0.50	51	47	8	3	21	43	43	4
ceb_g_e9b49234154de99c052b	cea_g_085238973569458bf836	0.60	51	48	8	5	28	43	43	5
ceb_g_5139e59233a81c74d889	cea_g_098304f7d1a1666c7fe9	0.10	43	44	0	0	3	43	42	1
ceb_g_48a157428f2175f3068b	cea_g_098304f7d1a1666c7fe9	0.20	43	41	3	1	11	40	39	1
ceb_g_51f67f95aad8c0b424da	cea_g_098304f7d1a1666c7fe9	0.30	43	44	1	3	15	42	42	2
ceb_g_24b85a57634eadf840f0	cea_g_098304f7d1a1666c7fe9	0.40	43	46	0	3	15	43	43	3
ceb_g_e525940bdae5a9887ce6	cea_g_098304f7d1a1666c7fe9	0.50	43	42	4	3	17	39	39	3
ceb_g_4438b6b410ddcdd6ade7	cea_g_098304f7d1a1666c7fe9	0.60	43	44	3	1	23	40	40	4
ceb_g_ac8285b65e90e7eecbc5	cea_g_09c550c7c6eed175197a	0.10	39	39	1	1	6	38	38	1
ceb_g_6ca29ef902b8b88e3d8e	cea_g_09c550c7c6eed175197a	0.20	39	39	1	1	8	38	38	1
ceb_g_2d04563564a5c250116a	cea_g_09c550c7c6eed175197a	0.30	39	40	1	1	14	38	38	2
ceb_g_5093ef429ebb529c1818	cea_g_09c550c7c6eed175197a	0.40	39	38	3	3	13	36	34	2
ceb_g_600833be1e45c3d18488	cea_g_09c550c7c6eed175197a	0.50	39	40	2	2	17	37	37	3
ceb_g_0f1d8d2c190e3f49170d	cea_g_09c550c7c6eed175197a	0.60	39	39	4	3	22	35	35	4
ceb_g_fdc87070ecd2b566e079	cea_g_0a4e548b70abe9cc2f65	0.10	46	44	3	0	7	43	42	1
ceb_g_a96ae3d5989e11ed96f5	cea_g_0a4e548b70abe9cc2f65	0.20	46	46	1	0	7	45	45	1
ceb_g_1f3915fd5c82c9b3bd72	cea_g_0a4e548b70abe9cc2f65	0.30	46	47	1	1	17	45	45	2
ceb_g_478dcde63477fcdc0ec3	cea_g_0a4e548b70abe9cc2f65	0.40	46	46	3	6	18	43	43	3
ceb_g_8115ad3e4568e789f621	cea_g_0a4e548b70abe9cc2f65	0.50	46	42	7	2	18	39	38	3
ceb_g_2e825c98989b4be81a5e	cea_g_0a4e548b70abe9cc2f65	0.60	46	44	6	6	20	40	40	4
ceb_g_790f66b301d9411e8321	cea_g_0abb913f017d6ad24dc9	0.10	57	58	0	3	6	57	56	1
ceb_g_3d2829f88e94c0cb324a	cea_g_0abb913f017d6ad24dc9	0.20	57	56	3	2	10	54	53	2
ceb_g_7ec505a8fa5c57ae962d	cea_g_0abb913f017d6ad24dc9	0.30	57	55	5	2	14	52	52	3
ceb_g_9b5358b565308abc89dc	cea_g_0abb913f017d6ad24dc9	0.40	57	54	6	5	22	51	49	3
ceb_g_f420c738d8a896915cbe	cea_g_0abb913f017d6ad24dc9	0.50	57	57	4	4	27	53	53	4
ceb_g_437fc3a15463f6a1c6ee	cea_g_0abb913f017d6ad24dc9	0.60	57	51	11	4	23	46	46	5
ceb_g_0b6ca0a27d947be49b1d	cea_g_0abe515b6ddc6a5e6b6e	0.10	46	45	2	0	5	44	43	1
ceb_g_ff4a18ab7cc47a71f2ff	cea_g_0abe515b6ddc6a5e6b6e	0.20	46	45	2	1	3	44	44	1
ceb_g_445eb99bc176bccf1144	cea_g_0abe515b6ddc6a5e6b6e	0.30	46	45	3	2	12	43	43	2
ceb_g_8419223bb000b2558c6e	cea_g_0abe515b6ddc6a5e6b6e	0.40	46	46	3	3	25	43	43	3
ceb_g_cb4beb02ebad793d6f0d	cea_g_0abe515b6ddc6a5e6b6e	0.50	46	44	5	2	26	41	41	3
ceb_g_c8b37098f12ccf5cc586	cea_g_0abe515b6ddc6a5e6b6e	0.60	46	45	5	6	22	41	41	4
ceb_g_82c4b3a8872fd90fa3f1	cea_g_0ace5e39f7a5b2afb30d	0.10	67	66	2	0	7	65	64	1
ceb_g_20aad013b130dffd0300	cea_g_0ace5e39f7a5b2afb30d	0.20	67	64	5	3	15	62	61	2
ceb_g_ef66d02ef87b7d00f41e	cea_g_0ace5e39f7a5b2afb30d	0.30	67	63	7	3	16	60	59	3
ceb_g_ecba55f2b935f501bbce	cea_g_0ace5e39f7a5b2afb30d	0.40	67	64	7	4	27	60	59	4
ceb_g_7dba6111fed0349f8c6b	cea_g_0ace5e39f7a5b2afb30d	0.50	67	67	5	4	34	62	62	5
ceb_g_c6d4c78135cc3c86dad9	cea_g_0ace5e39f7a5b2afb30d	0.60	67	63	10	3	38	57	57	6
ceb_g_ec3da65dccba404e7391	cea_g_0b5b28b411172bfbde5a	0.10	59	60	0	3	5	59	59	1
ceb_g_7be249c1c651c4a1bc1b	cea_g_0b5b28b411172bfbde5a	0.20	59	61	0	4	13	59	59	2
ceb_g_9fb1653732c64381fa48	cea_g_0b5b28b411172bfbde5a	0.30	59	62	0	3	16	59	59	3
ceb_g_2820fbc542fd19705d58	cea_g_0b5b28b411172bfbde5a	0.40	59	58	5	2	29	54	52	4
ceb_g_18ba58fe59a2ad9ea2d6	cea_g_0b5b28b411172bfbde5a	0.50	59	55	8	6	26	51	51	4
ceb_g_090a75a3480de4b4f570	cea_g_0b5b28b411172bfbde5a	0.60	59	61	3	4	31	56	56	5
ceb_g_4c3c238aeb98ec688290	cea_g_0b7bc79eae15ce7c1e1c	0.10	58	57	2	1	6	56	54	1
ceb_g_f6b09cab60314b1e7c33	cea_g_0b7bc79eae15ce7c1e1c	0.20	58	59	1	4	18	57	56	2
ceb_g_83a83348dfa8d444180d	cea_g_0b7bc79eae15ce7c1e1c	0.30	58	57	4	5	20	54	54	3
ceb_g_cd75459d065aa5c374bd	cea_g_0b7bc79eae15ce7c1e1c	0.40	58	58	3	2	31	55	54	3
